
Select all,Ctrl+A,Command+A
Start or stop preview,"spacebar, 0 on numeric keypad, Shift+0 on numeric keypad","spacebar, 0 on numeric keypad, Shift+0 on numeric keypad
"
Reset preview settings to replicate RAM Preview and Standard Preview behaviors,Alt + click Reset on Preview panel,Option + click Reset on Preview panel
"Preview only audio, from current time",. (decimal point) on numeric keypad*,. (decimal point) on numeric keypad* or Control+. (period) on main keyboard
"Preview only audio, in work area",Alt+. (decimal point) on numeric keypad*,Option+. (decimal point) on numeric keypad* or Control+Option+. (period) on main keyboard
Manually preview (scrub) video,"Drag or Alt-drag current-time indicator, depending on Live Update setting","Drag or Option-drag current-time indicator, depending on Live Update setting"
Manually preview (scrub) audio,Ctrl-drag current-time indicator,Command-drag current-time indicator
Preview number of frames specified by Alternate Preview preference (defaults to 5),Alt+0 on numeric keypad*,Option+0 on numeric keypad* or Control+Option+0 (zero) on main keyboard
Toggle Mercury Transmit video preview,/ (on numeric keypad),"/ (on numeric keypad), Control+/ on main keyboard  "
Take snapshot,"Shift+F5, Shift+F6, Shift+F7, or Shift+F8","Shift+F5, Shift+F6, Shift+F7, or Shift+F8"
Display snapshot in active viewer,"F5, F6, F7, or F8","F5, F6, F7, or F8"
Purge snapshot,"Ctrl+Shift+F5, Ctrl+Shift+F6, Ctrl+Shift+F7, or Ctrl+Shift+F8","Command+Shift+F5, Command+Shift+F6, Command+Shift+F7, or Command+Shift+F8"
Fast Previews > Off,Ctrl+Alt+1,Command+Option+1
Fast Previews > Adaptive Resolution,Ctrl+Alt+2,Command+Option+2
Fast Previews > Draft,Ctrl+Alt+3,Command+Option+3
Fast Previews > Fast Draft,Ctrl+Alt+4,Command+Option+4
Fast Previews > Wireframe,Ctrl+Alt+5,Command+Option+5

Turn display color management on or off for active view,Shift+/ (on numeric keypad),Shift+/ (on numeric keypad)
"Show red, green, blue, or alpha channel as grayscale","Alt+1, Alt+2, Alt+3, Alt+4","Option+1, Option+2, Option+3, Option+4"
"Show colorized red, green, or blue channel","Alt+Shift+1, Alt+Shift+2, Alt+Shift+3","Option+Shift+1, Option+Shift+2, Option+Shift+3"
Toggle showing straight RGB color,Alt+Shift+4,Option+Shift+4
Show alpha boundary (outline between transparent and opaque regions) in Layer panel,Alt+5,Option+5
Show alpha overlay (colored overlay on transparent regions) in Layer panel,Alt+6,Option+6
Show Refine Edge X-ray (After Effects CC 12.0 and later),Alt+X,Option+X
Center composition in the panel,Double-click Hand tool,Double-click Hand tool
"Zoom in in Composition, Layer, or Footage panel",. (period) on main keyboard,. (period) on main keyboard
"Zoom out in Composition, Layer, or Footage panel",", (comma)",", (comma)"
"Zoom to 100% in Composition, Layer, or Footage panel",/ (on main keyboard),/ (on main keyboard)
"Zoom to fit in Composition, Layer, or Footage panel",Shift+/ (on main keyboard),Shift+/ (on main keyboard)
"Zoom up to 100% to fit in Composition, Layer, or Footage panel",Alt+/ (on main keyboard),Option+/ (on main keyboard)
"Set resolution to Full, Half, or Custom in Composition panel","Ctrl+J, Ctrl+Shift+J, Ctrl+Alt+J","Command+J, Command+Shift+J, Command+Option+J"
Open View Options dialog box for active Composition panel,Ctrl+Alt+U,Command+Option+U
Zoom in time,= (equal sign) on main keyboard,= (equal sign) on main keyboard
Zoom out time,- (hyphen) on main keyboard,- (hyphen) on main keyboard
Zoom in Timeline panel to single-frame units (Press again to zoom out to show entire composition duration.),; (semicolon),; (semicolon)
Zoom out in Timeline panel to show the entire composition duration (Press again to zoom back in to the duration specified by the Time Navigator.),Shift+; (semicolon),Shift+; (semicolon)
"Prevent images from being rendered for previews in viewer panels
",Caps Lock,Caps Lock
Show or hide safe zones,' (apostrophe),' (apostrophe)
Show or hide grid,Ctrl+' (apostrophe),Command+' (apostrophe)
Show or hide proportional grid,Alt+' (apostrophe),Option+' (apostrophe)
Show or hide rulers,Ctrl+R,Command+R
Show or hide guides,Ctrl+; (semicolon),Command+; (semicolon)
Turn snapping to grid on or off,Ctrl+Shift+' (apostrophe),Command+Shift+' (apostrophe)
Turn snapping to guides on or off,Ctrl+Shift+; (semicolon),Command+Shift+; (semicolon)
Lock or unlock guides,Ctrl+Alt+Shift+; (semicolon),Command+Option+Shift+; (semicolon)
"Show or hide layer controls (masks, motion paths, light and camera wireframes, effect control points, and layer handles)",Ctrl+Shift+H,Command+Shift+H

Import one file or image sequence,Ctrl+I,Command+I
Import multiple files or image sequences,Ctrl+Alt+I,Command+Option+I
Open movie in an After Effects Footage panel,Double-click the footage item in the Project panel,Double-click the footage item in the Project panel
Add selected items to most recently activated composition,Ctrl+/ (on main keyboard),Command+/ (on main keyboard)
Replace selected source footage for selected layers with footage item selected in Project panel,Ctrl+Alt+/ (on main keyboard),Command+Option+/ (on main keyboard)
Replace source for a selected layer,Alt-drag footage item from Project panel onto selected layer,Option-drag footage item from Project panel onto selected layer
Delete a footage item without a warning,Ctrl+Backspace,Command+Delete
Open Interpret Footage dialog box for selected footage item,Ctrl+Alt+G,Command+Option+G
Remember footage interpretation,Ctrl+Alt+C,Command+Option+C
Edit selected footage item in application with which it’s associated (Edit Original),Ctrl+E,Command+E
Replace selected footage item,Ctrl+H,Command+H
Reload selected footage items,Ctrl+Alt+L,Command+Option+L
Set proxy for selected footage item,Ctrl+Alt+P,Command+Option+P
Delete all effects from selected layers,Ctrl+Shift+E,Command+Shift+E
"Apply most recently applied effect to selected
layers",Ctrl+Alt+Shift+E,Command+Option+Shift+E
"Apply most recently applied animation preset
to selected layers",Ctrl+Alt+Shift+F,Command+Option+Shift+F

New solid layer,Ctrl+Y,Command+Y
New null layer,Ctrl+Alt+Shift+Y,Command+Option+Shift+Y
New adjustment layer,Ctrl+Alt+Y,Command+Option+Y
Select layer (1-999) by its number (enter digits rapidly for two-digit and three-digit numbers),0-9 on numeric keypad*,0-9 on numeric keypad*
Toggle selection of layer (1-999) by its number (enter digits rapidly for two-digit and three-digit numbers),Shift+0-9 on numeric keypad*,Shift+0-9 on numeric keypad*
Select next layer in stacking order,Ctrl+Down Arrow,Command+Down Arrow
Select previous layer in stacking order,Ctrl+Up Arrow,Command+Up Arrow
Extend selection to next layer in stacking order,Ctrl+Shift+Down Arrow,Command+Shift+Down Arrow
Extend selection to previous layer in stacking order,Ctrl+Shift+Up Arrow,Command+Shift+Up Arrow
Deselect all layers,Ctrl+Shift+A,Command+Shift+A
Scroll topmost selected layer to top of Timeline panel,X,X
Show or hide Parent column,Shift+F4,Shift+F4
Show or hide Layer Switches and Modes columns,F4,F4
Setting the sampling method for selected layers (Best/Bilinear),Alt+B,Option+B
Setting the sampling method for selected layers (Best/Bicubic),Alt+Shift+B,Option+Shift+B
Turn off all other solo switches,Alt-click solo switch,Option-click solo switch
Turn Video (eyeball) switch on or off for selected layers,Ctrl+Alt+Shift+V,Command+Option+Shift+V
Turn off Video switch for all video layers other than selected layers,Ctrl+Shift+V,Command+Shift+V
"Open settings dialog box for selected solid, light, camera, null, or adjustment layer",Ctrl+Shift+Y,Command+Shift+Y
Paste layers at current time,Ctrl+Alt+V,Command+Option+V
"Split selected layers (If no layers are selected, split all layers.)",Ctrl+Shift+D,Command+Shift+D
Precompose selected layers,Ctrl+Shift+C,Command+Shift+C
Open Effect Controls panel for selected layers,Ctrl+Shift+T,Command+Shift+T
Open layer in Layer panel (opens source composition for precomposition layer in Composition panel),Double-click a layer,Double-click a layer
Open source of a layer in Footage panel (opens precomposition layer in Layer panel),Alt-double-click a layer,Option-double-click a layer
Reverse selected layers in time,Ctrl+Alt+R,Command+Option+R
Enable time remapping for selected layers,Ctrl+Alt+T,Command+Option+T
Move selected layers so that their In point or Out point is at the current time,[ (left bracket) or ] (right bracket),[ (left bracket) or ] (right bracket)
Trim In point or Out point of selected layers to current time,Alt+[ (left bracket) or Alt+] (right bracket),Option+[ (left bracket) or Option+] (right bracket)
Add or remove expression for a property,Alt-click stopwatch,Option-click stopwatch
Add an effect (or multiple selected effects) to selected layers,Double-click effect selection in Effects & Presets panel,Double-click effect selection in Effects & Presets panel
Set In point or Out point by time-stretching,"Ctrl+Shift+, (comma) or Ctrl+Alt+, (comma)","Command+Shift+, (comma) or Command+Option+, (comma)"
Move selected layers so that their In Point is at beginning of composition,Alt+Home,Option+Home
Move selected layers so that their Out point is at end of composition,Alt+End,Option+End
Lock selected layers,Ctrl+L,Command+L
Unlock all layers,Ctrl+Shift+L,Command+Shift+L
"Set Quality to Best, Draft, or Wireframe for selected layers","Ctrl+U, Ctrl+Shift+U, or Ctrl+Alt+Shift+U","Command+U, Command+Shift+U, Command+Option+Shift+U"
Cycle forward or backward through blending modes for selected layers,Shift+ - (hyphen) or Shift+= (equal sign) on the main keyboard,Shift+ - (hyphen) or Shift+= (equal sign) on the main keyboard
Find in Timeline panel,Ctrl+F,Command+F
Find in Timeline panel,Ctrl+F,Command+F
"Toggle expansion of selected layers to show
all properties",Ctrl+` (accent grave),Command+` (accent grave)
"Toggle expansion of property group and all
child property groups to show all properties","Ctrl-click triangle to the left of the property
group name","Command-click triangle to the left of the
property group name"
"Show only Anchor Point property (for lights
and cameras, Point Of Interest)",A,A
Show only Audio Levels property,L,L
Show only Mask Feather property,F,F
Show only Mask Path property,M,M
Show only Mask Opacity property,TT,TT
"Show only Opacity property (for lights,
Intensity)",T,T
Show only Position property,P,P
Show only Rotation and Orientation properties,R,R
Show only Scale property,S,S
Show only Time Remap property,RR,RR
Show only instances of missing effects,FF,FF
Show only Effects property group,E,E
Show only mask property groups,MM,MM
Show only Material Options property group,AA,AA
Show only expressions,EE,EE
Show only modified properties,UU,UU
"Show only paint strokes, Roto Brush strokes,
and Puppet pins",PP,PP
Show only audio waveform,LL,LL
Show only properties with keyframes or expressions,U,U
Show only selected properties and groups,SS,SS
Hide property or group,Alt+Shift-click property or group name,Option+Shift-click property or group name
"Add or remove property or group from set
that is shown",Shift+property or group shortcut,Shift+property or group shortcut
Add or remove keyframe at current time,Alt+Shift+property shortcut,Option+property shortcut
"Toggle expansion of selected effects to
show all properties",Ctrl+` (accent grave),Command+` (accent grave)
"Toggle expansion of property group and all child
property groups to show all properties","Ctrl-click triangle to the left of the property
group name","Command-click triangle to the left of the
property group name"
Modify property value by default increments,Drag property value,Drag property value
Modify property value by 10x default increments,Shift-drag property value,Shift-drag property value
Modify property value by 1/10 default increments,Ctrl-drag property value,Command-drag property value
Open Auto-Orientation dialog box for selected layers,Ctrl+Alt+O,Command+Alt+O
Open Opacity dialog box for selected layers,Ctrl+Shift+O,Command+Shift+O
Open Rotation dialog box for selected layers,Ctrl+Shift+R,Command+Shift+R
Open Position dialog box for selected layers,Ctrl+Shift+P,Command+Shift+P
"Center selected layers in view (modifies
Position property to place anchor points of selected layers in center
of current view)",Ctrl+Home,Command+Home
"Move selected layers 1 pixel at current
magnification (Position)",arrow key,arrow key
"Move selected layers 10 pixels at current
magnification (Position)",Shift+arrow key,Shift+arrow key
"Move selected layers 1 frame earlier or
later",Alt+Page Up or Alt+Page Down,Option+Page Up or Option+Page Down
"Move selected layers 10 frames earlier or
later",Alt+Shift+Page Up or Alt+Shift+Page Down,"Option+Shift+Page Up or Option+Shift+Page
Down"
"Increase or decrease Rotation (Z Rotation)
of selected layers by 1°",+ (plus) or - (minus) on numeric keypad,+ (plus) or - (minus) on numeric keypad
"Increase or decrease Rotation (Z Rotation)
of selected layers by 10°","Shift++ (plus) or Shift+- (minus) on numeric
keypad","Shift++ (plus) or Shift+- (minus) on numeric
keypad"
"Increase or decrease Opacity (or Intensity
for light layers) of selected layers by 1%","Ctrl+Alt++ (plus) or Ctrl+Alt+- (minus)
on numeric keypad","Control+Option++ (plus) or Control+Option+-
(minus) on numeric keypad"
"Increase or decrease Opacity (or Intensity
for light layers) of selected layers by 10%","Ctrl+Alt+Shift++ (plus) or Ctrl+Alt+Shift+-
(minus) on numeric keypad","Control+Option+Shift++ (plus) or Control+Option+Shift+- (minus)
on numeric keypad"
Increase Scale of selected layers by 1%,"Ctrl++ (plus) or Alt++ (plus) on numeric
keypad",Command++ (plus) or Option++ (plus) on numeric keypad
Decrease Scale of selected layers by 1%,"Ctrl+- (minus) or Alt+- (minus) on numeric
keypad","Command+- (minus) or Option+- (minus) on
numeric keypad"
Increase Scale of selected layers by 10%,"Ctrl+Shift++ (plus) or Alt+Shift++ (plus)
on numeric keypad","Command+Shift++ (plus) or Option+Shift++
(plus) on numeric keypad"
Decrease Scale of selected layers by 10%,"Ctrl+Shift+- (minus) or Alt+Shift+- (minus)
on numeric keypad","Command+Shift+- (minus) or Option+Shift+-
(minus) on numeric keypad"
Modify Rotation or Orientation in 45° increments,Shift-drag with Rotation tool,Shift-drag with Rotation tool
"Modify Scale, constrained to footage frame aspect
ratio",Shift-drag layer handle with Selection tool,Shift-drag layer handle with Selection tool
Reset Rotation to 0°,Double-click Rotation tool,Double-click Rotation tool
Reset Scale to 100%,Double-click Selection tool,Double-click Selection tool
"Scale and reposition selected layers to
fit composition",Ctrl+Alt+F,Command+Option+F
"Scale and reposition selected layers to
fit composition width, preserving image aspect ratio for each layer",Ctrl+Alt+Shift+H,Command+Option+Shift+H
"Scale and reposition selected layers to
fit composition height, preserving image aspect ratio for each layer",Ctrl+Alt+Shift+G,Command+Option+Shift+G

Switch to 3D view 1 (defaults to Front),F10,F10
Switch to 3D view 2 (defaults to Custom View 1),F11,F11
Switch to 3D view 3 (defaults to Active Camera),F12,F12
Return to previous view,Esc,Esc
New light,Ctrl+Alt+Shift+L,Command+Option+Shift+L
New camera,Ctrl+Alt+Shift+C,Command+Option+Shift+C
Move the camera and its point of interest to look at selected 3D layers,Ctrl+Alt+Shift+\,Command+Option+Shift+\
"With a camera tool selected, move the camera and its point of interest to look at selected 3D layers",F,F
"With a camera tool selected, move the camera and its point of interest to look at all 3D layers",Ctrl+Shift+F,Command+Shift+F
Turn Casts Shadows property on or off for selected 3D layers,Alt+Shift+C,Option+Shift+C

Toggle between Graph Editor and layer bar modes,Shift+F3,Shift+F3
Select all keyframes for a property,Click property name,Click property name
Select all visible keyframes and properties,Ctrl+Alt+A,Command+Option+A
"Deselect all keyframes, properties, and property groups",Shift+F2 or Ctrl+Alt+Shift+A,Shift+F2 or Command+Option+Shift+A
Move keyframe 1 frame later or earlier,Alt+Right Arrow or Alt+Left Arrow,Option+Right Arrow or Option+Left Arrow
Move keyframe 10 frames later or earlier,Alt+Shift+Right Arrow or Alt+Shift+Left Arrow,Option+Shift+Right Arrow or Option+Shift+Left Arrow
Set interpolation for selected keyframes (layer bar mode),Ctrl+Alt+K,Command+Option+K
Set keyframe interpolation method to hold or Auto Bezier,Ctrl+Alt+H,Command+Option+H
Set keyframe interpolation method to linear or Auto Bezier,Ctrl-click in layer bar mode,Command-click in layer bar mode
Set keyframe interpolation method to linear or hold,Ctrl+Alt-click in layer bar mode,Command+Option-click in layer bar mode
Easy ease selected keyframes,F9,F9
Easy ease selected keyframes in,Shift+F9,Shift+F9
Easy ease selected keyframes out,Ctrl+Shift+F9,Command+Shift+F9
Set velocity for selected keyframes,Ctrl+Shift+K,Command+Shift+K
"Add or remove keyframe at current time. For property shortcuts, see Showing properties and groups in the Timeline panel (keyboard shortcuts).",Alt+Shift+property shortcut,Option+property shortcut
New text layer,Ctrl+Alt+Shift+T,Command+Option+Shift+T
"Align selected horizontal text left, center,
or right","Ctrl+Shift+L, Ctrl+Shift+C, or Ctrl+Shift+R","Command+Shift+L, Command+Shift+C, or Command+Shift+R"
"Align selected vertical text top, center,
or bottom","Ctrl+Shift+L, Ctrl+Shift+C, or Ctrl+Shift+R","Command+Shift+L, Command+Shift+C, or Command+Shift+R"
"Extend or reduce selection by one character
to right or left in horizontal text",Shift+Right Arrow or Shift+Left Arrow,Shift+Right Arrow or Shift+Left Arrow
"Extend or reduce selection by one word to right
or left in horizontal text","Ctrl+Shift+Right Arrow or Ctrl+Shift+Left
Arrow","Command+Shift+Right Arrow or Command+Shift+Left
Arrow"
"Extend or reduce selection by one line up or
down in horizontal text",Shift+Up Arrow or Shift+Down Arrow,Shift+Up Arrow or Shift+Down Arrow
"Extend or reduce selection by one line to right
or left in vertical text",Shift+Right Arrow or Shift+Left Arrow,Shift+Right Arrow or Shift+Left Arrow
"Extend or reduce selection one word up or down
in vertical text",Ctrl+Shift+Up Arrow or Ctrl+Shift+Down Arrow,"Command+Shift+Up Arrow or Command+Shift+Down
Arrow"
"Extend or reduce selection by one character
up or down in vertical text",Shift+Up Arrow or Shift+Down Arrow,Shift+Up Arrow or Shift+Down Arrow
"Select text from insertion point to beginning
or end of line",Shift+Home or Shift+End,Shift+Home or Shift+End
"Move insertion point to beginning or end of
line",Home or End,Home or End
Select all text on a layer,Double-click text layer,Double-click text layer
"Select text from insertion point to beginning
or end of text frame",Ctrl+Shift+Home or Ctrl+Shift+End,Command+Shift+Home or Command+Shift+End
"Select text from insertion point to mouse click
point",Shift-click ,Shift-click
"In horizontal text, move insertion point
one character left or right; one line up or down; one word left
or right; or one paragraph up or down","Left Arrow or Right Arrow; Up Arrow or Down
Arrow; Ctrl+Left Arrow or Ctrl+Right Arrow; or Ctrl+Up Arrow or
Ctrl+Down Arrow","Left Arrow or Right Arrow; Up Arrow or Down
Arrow; Command+Left Arrow or Command+Right Arrow; or Command+Up
Arrow or Command+Down Arrow"
"In vertical text, move insertion point one character
up or down; one left or right; one word up or down; or one paragraph
left or right","Up Arrow or Down Arrow; Left Arrow or Right
Arrow; Ctrl+Up Arrow or Ctrl+Down Arrow; or Ctrl+Left Arrow or Ctrl+Right Arrow","Up Arrow or Down Arrow; Left Arrow or Right
Arrow; Command+Up Arrow or Command+Down Arrow; or Command+Left Arrow
or Command+Right Arrow"
"Select word, line, paragraph, or entire
text frame","Double-click, triple-click, quadruple-click,
or quintuple-click with Type tool","Double-click, triple-click, quadruple-click,
or quintuple-click with Type tool"
Turn All Caps on or off for selected text,Ctrl+Shift+K,Command+Shift+K
Turn Small Caps on or off for selected text,Ctrl+Alt+Shift+K,Command+Option+Shift+K
"Turn Superscript on or off for selected
text",Ctrl+Shift+= (equals),Command+Shift+= (equals)
Turn Subscript on or off for selected text,Ctrl+Alt+Shift+= (equals),Command+Option+Shift+= (equals)
Set horizontal scale to 100% for selected text,Ctrl+Shift+X,Command+Shift+X
"Set vertical scale to 100% for selected
text",Ctrl+Alt+Shift+X,Command+Option+Shift+X
Auto leading for selected text,Ctrl+Alt+Shift+A,Command+Option+Shift+A
Reset tracking to 0 for selected text,Ctrl+Shift+Q,Command+Shift+Control+Q
Justify paragraph; left align last line,Ctrl+Shift+J,Command+Shift+J
Justify paragraph; right align last line,Ctrl+Alt+Shift+J,Command+Option+Shift+J
Justify paragraph; force last line,Ctrl+Shift+F,Command+Shift+F
"Decrease or increase font size of selected text
by 2 units","Ctrl+Shift+, (comma) or Ctrl+Shift+. (period)","Command+Shift+, (comma) or Command+Shift+.
(period)"
"Decrease or increase font size of selected text
by 10 units","Ctrl+Alt+Shift+, (comma) or Ctrl+Alt+Shift+.
(period)","Command+Option+Shift+, (comma) or Command+Option+Shift+.
(period)"
Increase or decrease leading by 2 units,Alt+Down Arrow or Alt+Up Arrow,Option+Down Arrow or Option+Up Arrow
Increase or decrease leading by 10 units,Ctrl+Alt+Down Arrow or Ctrl+Alt+Up Arrow,"Command+Option+Down Arrow or Command+Option+Up
Arrow"
Decrease or increase baseline shift by 2 units,Alt+Shift+Down Arrow or Alt+Shift+Up Arrow,"Option+Shift+Down Arrow or Option+Shift+Up
Arrow"
Decrease or increase baseline shift by 10 units,"Ctrl+Alt+Shift+Down Arrow or Ctrl+Alt+Shift+Up
Arrow","Command+Option+Shift+Down Arrow or Command+Option+Shift+Up
Arrow"
"Decrease or increase kerning or tracking
20 units (20/1000 ems)",Alt+Left Arrow or Alt+Right Arrow,Option+Left Arrow or Option+Right Arrow
"Decrease or increase kerning or tracking 100
units (100/1000 ems)",Ctrl+Alt+Left Arrow or Ctrl+Alt+Right Arrow,"Command+Option+Left Arrow or Command+Option+Right
Arrow"
Toggle paragraph composer,Ctrl+Alt+Shift+T,Command+Option+Shift+T
New mask,Ctrl+Shift+N,Command+Shift+N
Select all points in a mask,Alt-click mask,Option-click mask
Select next or previous mask,"Alt+` (accent grave) or Alt+Shift+` (accent
grave)","Option+` (accent grave) or Option+Shift+`
(accent grave)"
Enter free-transform mask editing mode,"Double-click mask with Selection tool or
select mask in Timeline panel and press Ctrl+T","Double-click mask with Selection tool or
select mask in Timeline panel and press Command+T"
Exit free-transform mask editing mode,Esc,Esc
Scale around center point in Free Transform mode,Ctrl-drag,Command-drag
Move selected path points 1 pixel at current magnification,arrow key,arrow key
"Move selected path points 10 pixels at current
magnification",Shift+arrow key,Shift+arrow key
Toggle between smooth and corner points,Ctrl+Alt-click vertex ,Command+Option-click vertex 
